Gene_Symbol	Protein	Refseq_identifier	FUS_cluster_Total	FUS_cluster_5UTR	FUS_cluster_introns	FUS_cluster_exons	FUS_cluster_3UTR	FUS_RNAseq_RPKM_FUS_KD	FUS_RNAseq_RPKM_control	FUS_RNAseq_Ratio_KD_control	FUS_RNAseq_Zscore	TDP_cluster_Total	TDP_cluster_5UTR	TDP_cluster_introns	TDP_cluster_exons	TDP_cluster_3UTR	TDP_RNAseq_TDP_KD	TDP_RNAseq_RPKM_control	TDP_RNAseq_Ratio_KD_control	TDP_RNAseq_Zscore
Arsg	Arylsulfatase G	NM_028710	0	0	0	0	0	4.024	6.183	0.65	-3.013	4	0	4	0	0	4.53	6.183	0.73	-1.459
Tmem16b	Adult male testis cDNA, RIKEN full-length enriched library, clone:4930527E21 product:transmembrane protein 16B, full insert sequence.	AK132944	0	0	0	0	0	1.419	2.62	0.54	-3.011	1	0	1	0	0	2.373	2.62	0.91	-0.615
Ndst4	N-deacetylase/N-sulfotransferase (heparin	AK140992	0	0	0	0	0	0.2	0.726	0.28	-3.009	2	0	1	0	1	1.469	0.726	2.02	1.141
Sox12	SRY-box containing gene 12	NM_011438	1	0	0	0	1	4.84	7.294	0.66	-3.007	0	0	0	0	0	8.859	7.294	1.21	0.609
Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase	AK038940	45	8	29	0	13	31.783	47.113	0.67	-3.006	18	0	16	0	2	40.755	47.113	0.87	-0.691
Zbtb20	zinc finger and BTB domain containing 20	BC056446	244	9	230	0	10	3.775	5.867	0.64	-2.997	53	0	53	0	0	16.24	5.867	2.77	4.495
Xkr6	X Kell blood group precursor related family	NM_173393	154	1	152	1	0	2.041	3.532	0.58	-2.984	51	0	51	0	0	3.104	3.532	0.88	-0.736
1700029J07Rik	hypothetical protein LOC69479	BC107256	2	2	0	0	0	2.454	4.243	0.58	-2.98	0	0	0	0	0	4.686	4.243	1.10	0.072
Ache	acetylcholinesterase	AK036259	2	2	0	0	0	9.546	13.409	0.71	-2.975	1	1	0	0	0	11.554	13.409	0.86	-0.853
AK084074	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130060K15 product:unclassifiable, full insert sequence.	AK084074	57	0	40	10	7	7.268	10.148	0.72	-2.969	30	0	28	2	0	7.123	10.148	0.70	-1.828
Cpne5	Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830083G22 product:COPINE-LIKE PROTEIN KIAA1599 homolog [Homo sapiens], full insert sequence.	AK147529	0	0	0	0	0	23.656	33.251	0.71	-2.962	8	1	7	0	1	33.845	33.251	1.02	0.077
BC072620	hypothetical protein LOC237403	NM_001013758	1	0	1	0	0	15.729	21.2	0.74	-2.952	1	0	1	0	0	22.303	21.2	1.05	0.232
Dbp	D site albumin promoter binding protein	NM_016974	2	0	2	0	0	9.511	13.338	0.71	-2.939	0	0	0	0	0	22.132	13.338	1.66	2.366
BC002059	hypothetical protein LOC213811	NM_145397	2	0	2	0	0	4.724	7.012	0.67	-2.916	0	0	0	0	0	6.915	7.012	0.99	-0.328
Pcdh9	protocadherin 9	NM_001081377	827	1	824	1	1	18.344	24.774	0.74	-2.907	184	0	183	1	0	12.178	24.774	0.49	-3.709
Peg10	paternally expressed 10 isoform RF1/RF2	NM_130877	0	0	0	0	0	6.374	9.122	0.70	-2.907	0	0	0	0	0	10.098	9.122	1.11	0.249
Kirrel2	kin of IRRE-like 2	NM_172898	0	0	0	0	0	0.989	1.998	0.49	-2.902	0	0	0	0	0	0.715	1.998	0.36	-2.864
Cntnap2	contactin associated protein-like 2 isoform b	NM_025771	1144	4	1140	0	0	14.096	18.847	0.75	-2.883	190	0	190	0	0	9.309	18.847	0.49	-3.648
AK047676	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930027I11 product:unclassifiable, full insert sequence.	AK047676	0	0	0	0	0	15.206	20.313	0.75	-2.882	0	0	0	0	0	15.337	20.313	0.76	-1.452
Fa2h	fatty acid 2-hydroxylase	NM_178086	0	0	0	0	0	11.258	15.403	0.73	-2.85	1	0	1	0	0	13.916	15.403	0.90	-0.624
Ahi1	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700015F03 product:RIKEN cDNA 1700015F03 gene, full insert sequence.	BC055400	71	1	58	3	9	20.528	27.429	0.75	-2.837	17	0	16	0	1	28.018	27.429	1.02	0.093
Cep63	centrosomal protein 63	NM_001081122	1	0	0	0	1	9.743	13.514	0.72	-2.835	4	0	2	0	2	10.962	13.514	0.81	-1.14
Ccdc88c	coiled-coil domain containing 88C	NM_026681	2	0	2	0	0	10.975	15.015	0.73	-2.832	3	0	3	0	0	13.309	15.015	0.89	-0.729
Vegf	Vascular endothelial growth factor A precursor (VEGF-A) (Vascular permeability factor) (VPF).	AY263146	5	0	3	0	2	14.837	19.724	0.75	-2.817	4	0	1	0	3	13.574	19.724	0.69	-1.931
Efs	embryonal Fyn-associated substrate	NM_010112	0	0	0	0	0	1.351	2.437	0.55	-2.816	0	0	0	0	0	2.796	2.437	1.15	0.085
Tshz2	teashirt zinc finger family member 2	AK046877	13	0	13	0	0	2.121	3.545	0.60	-2.803	46	0	46	0	0	3.361	3.545	0.95	-0.486
Dok3	docking protein 3	NM_013739	0	0	0	0	0	2.488	4.148	0.60	-2.795	0	0	0	0	0	4.715	4.148	1.14	0.174
Nrp1	neuropilin 1	AK082992	3	0	3	0	0	3.374	5.248	0.64	-2.777	16	0	16	0	0	6.169	5.248	1.18	0.338
U69888	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230105C16 product:Mus musculus Ipw gene, exon B, full insert sequence.	U69888	43	0	43	0	0	0.939	1.905	0.49	-2.774	11	0	11	0	0	1.066	1.905	0.56	-1.889
AK144367	Mus musculus 0 day neonate cortex cDNA, RIKEN full-length enriched library, clone:G630041N23 product:unclassifiable, full insert sequence.	AK144367	1	0	1	0	0	2.43	4.045	0.60	-2.771	1	0	1	0	0	4.757	4.045	1.18	0.299
Chrm4	cholinergic receptor, muscarinic 4	NM_007699	0	0	0	0	0	13.446	17.888	0.75	-2.77	0	0	0	0	0	15.8	17.888	0.88	-0.709
BC048080	Mus musculus 0 day neonate head cDNA, RIKEN full-length enriched library, clone:4833432E10 product:unclassifiable, full insert sequence.	BC048080	0	0	0	0	0	2.168	3.613	0.60	-2.767	0	0	0	0	0	4.17	3.613	1.15	0.207
Ankrd43	ankyrin repeat domain 43	NM_183173	1	0	0	0	1	24.707	33.81	0.73	-2.749	1	0	0	0	1	30.483	33.81	0.90	-0.483
BC005764	plasticity-related protein 2	NM_181681	0	0	0	0	0	16.711	22.012	0.76	-2.74	1	0	1	0	0	19.456	22.012	0.88	-0.649
Flt1	FMS-like tyrosine kinase 1	AK146906	0	0	0	0	0	6.196	8.744	0.71	-2.738	5	0	5	0	0	8.97	8.744	1.03	-0.098
Ccdc135	coiled-coil domain containing 135	NM_001042715	0	0	0	0	0	0.723	1.68	0.43	-2.734	0	0	0	0	0	1.297	1.68	0.77	-1.094
9030617O03Rik	hypothetical protein LOC217830	AK081256	0	0	0	0	0	1.415	2.486	0.57	-2.732	1	0	1	0	0	1.949	2.486	0.78	-1.047
Slc2a12	solute carrier family 2 (facilitated glucose	NM_178934	0	0	0	0	0	0.46	1.221	0.38	-2.731	0	0	0	0	0	0.82	1.221	0.67	-1.238
Htr1d	5-hydroxytryptamine (serotonin) receptor 1D	NM_008309	0	0	0	0	0	2.901	4.702	0.62	-2.724	0	0	0	0	0	4.999	4.702	1.06	-0.059
Pkd2l1	polycystic kidney disease 2-like 1	NM_181422	0	0	0	0	0	0.173	0.563	0.31	-2.721	0	0	0	0	0	0.686	0.563	1.22	-0.057
Tacr1	tachykinin receptor 1	NM_009313	0	0	0	0	0	3.92	5.815	0.67	-2.718	0	0	0	0	0	4.385	5.815	0.75	-1.365
Arl4d	ADP-ribosylation factor-like 4D	NM_025404	0	0	0	0	0	16.194	21.378	0.76	-2.716	0	0	0	0	0	14.373	21.378	0.67	-2.021
March4	membrane-associated ring finger (C3HC4) 4	NM_001045533	3	0	3	0	0	7.141	9.792	0.73	-2.712	2	0	2	0	0	8.361	9.792	0.85	-0.894
Dtx3	deltex 3	NM_030714	1	1	0	0	0	14.551	19.124	0.76	-2.697	0	0	0	0	0	16.11	19.124	0.84	-0.918
AK017144	Mus musculus 11 days pregnant adult female ovary and uterus cDNA, RIKEN full-length enriched library, clone:5031434O11 product:unclassifiable, full insert sequence.	AK017144	0	0	0	0	0	1.031	1.984	0.52	-2.684	3	0	0	3	0	2.135	1.984	1.08	-0.191
Slc25a12	solute carrier family 25 (mitochondrial carrier,	NM_172436	36	0	32	4	0	19.447	25.573	0.76	-2.677	18	0	18	0	0	23.975	25.573	0.94	-0.326
Grm4	glutamate receptor, metabotropic 4	NM_001013385	71	0	69	1	1	10.625	14.234	0.75	-2.665	39	0	38	0	1	12.75	14.234	0.90	-0.684
A430110N23Rik	hypothetical protein LOC269855	NM_173008	0	0	0	0	0	0.575	1.397	0.41	-2.658	1	0	1	0	0	2.263	1.397	1.62	0.924
Abhd3	abhydrolase domain containing 3	NM_134130	2	0	1	0	1	8.31	11.24	0.74	-2.657	1	0	1	0	0	10.543	11.24	0.94	-0.434
Wnk4	WNK lysine deficient protein kinase 4	NM_175638	0	0	0	0	0	0.923	1.828	0.50	-2.645	0	0	0	0	0	1.596	1.828	0.87	-0.772
AK005503	Mus musculus adult female placenta cDNA, RIKEN full-length enriched library, clone:1600020E01 product:unclassifiable, full insert sequence.	AK005503	1	0	1	0	0	2.538	4.136	0.61	-2.623	2	0	2	0	0	3.52	4.136	0.85	-0.86
Kif17	kinesin family member 17	NM_010623	4	0	4	0	0	5.976	8.353	0.72	-2.619	7	1	6	0	1	7.218	8.353	0.86	-0.908
Trim72	tripartite motif-containing 72	NM_001079932	0	0	0	0	0	0.167	0.522	0.32	-2.614	0	0	0	0	0	0.226	0.522	0.43	-1.992
Lrrc7	leucine rich repeat containing 7	AK122498	183	0	178	5	0	10.075	13.616	0.74	-2.607	57	0	57	0	0	9.522	13.616	0.70	-1.78
